random_subid,subid,condition,cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_onset,adjusted_calc_offset,code_end_time,adjusted_code_end_time
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,long_fixation,10,,,,,,,0,10,22.5775,22.5649,0.0126,10.0126,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,0.0,1.0,depressed,3.0,low,low,10,12,32.5701,22.5649,10.0052,12.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,12,14,34.5701,22.5649,12.0052,14.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,1.0,2.0,alarmed,3.0,high,low,14,16,36.5704,22.5649,14.0055,16.0055,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,16,18,38.5704,22.5649,16.0055,18.0055,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,2.0,3.0,pleased,4.0,low,high,18,20,40.5694,22.5649,18.0045,20.0045,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,20,22,42.5694,22.5649,20.0045,22.0045,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,3.0,4.0,distressed,2.0,high,low,22,24,44.5686,22.5649,22.0037,24.0037,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,24,26,46.5686,22.5649,24.0037,26.0037,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,4.0,5.0,annoyed,2.0,high,low,26,28,48.5692,22.5649,26.0043,28.0043,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,28,30,50.5692,22.5649,28.0043,30.0043,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,5.0,6.0,satisfied,4.0,low,high,30,32,52.5705,22.5649,30.0056,32.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,32,34,54.5705,22.5649,32.0056,34.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,6.0,7.0,astonished,1.0,high ,high,34,36,56.5693,22.5649,34.0044,36.0044,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,36,38,58.5693,22.5649,36.0044,38.0044,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,7.0,8.0,afraid,2.0,high,low,38,40,60.5696,22.5649,38.0047,40.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,40,42,62.5696,22.5649,40.0047,42.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,8.0,9.0,calm,4.0,low,high,42,44,64.5693,22.5649,42.0044,44.0044,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,44,46,66.5693,22.5649,44.0044,46.0044,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,9.0,10.0,sleepy,4.0,low,high,46,48,68.5701,22.5649,46.0052,48.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,48,50,70.5701,22.5649,48.0052,50.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,10.0,11.0,frustrated,2.0,high,low,50,52,72.5701,22.5649,50.0052,52.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,52,54,74.5701,22.5649,52.0052,54.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,11.0,12.0,content,4.0,low,high,54,56,76.5707,22.5649,54.0058,56.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,56,58,78.5707,22.5649,56.0058,58.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,12.0,13.0,angry,2.0,high,low,58,60,80.5707,22.5649,58.0058,60.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,60,62,82.5707,22.5649,60.0058,62.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,13.0,14.0,droopy,3.0,low,low,62,64,84.5695,22.5649,62.0046,64.0046,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,64,66,86.5695,22.5649,64.0046,66.0046,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,14.0,15.0,tired,3.0,low,low,66,68,88.5701,22.5649,66.0052,68.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,68,70,90.5701,22.5649,68.0052,70.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,15.0,16.0,excited,1.0,high ,high,70,72,92.5757,22.5649,70.0108,72.0108,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,72,74,94.5757,22.5649,72.0108,74.0108,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,16.0,17.0,bored,3.0,low,low,74,76,96.569,22.5649,74.0041,76.0041,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,76,78,98.569,22.5649,76.0041,78.0041,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,17.0,18.0,aroused,1.0,high ,high,78,80,100.5709,22.5649,78.006,80.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,80,82,102.5709,22.5649,80.006,82.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,18.0,19.0,glad,1.0,high ,high,82,84,104.5689,22.5649,82.004,84.004,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,84,86,106.5689,22.5649,84.004,86.004,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,19.0,20.0,serene,4.0,low,high,86,88,108.5703,22.5649,86.0054,88.0054,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,88,90,110.5703,22.5649,88.0054,90.0054,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,20.0,21.0,amused,1.0,high ,high,90,92,112.5702,22.5649,90.0053,92.0053,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,92,94,114.5702,22.5649,92.0053,94.0053,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,21.0,22.0,delighted,1.0,high ,high,94,96,116.571,22.5649,94.0061,96.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,96,98,118.571,22.5649,96.0061,98.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,22.0,23.0,gloomy,3.0,low,low,98,100,120.5705,22.5649,98.0056,100.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,100,102,122.5705,22.5649,100.0056,102.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,23.0,24.0,miserable,3.0,low,low,102,104,124.571,22.5649,102.0061,104.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,104,106,126.571,22.5649,104.0061,106.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,long_fixation,10,,,,,,,106,116,128.5662,22.5649,106.0013,116.0013,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,24.0,10.0,sleepy,4.0,low,high,116,118,138.5704,22.5649,116.0055,118.0055,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,118,120,140.5704,22.5649,118.0055,120.0055,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,25.0,8.0,afraid,2.0,high,low,120,122,142.5709,22.5649,120.006,122.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,122,124,144.5709,22.5649,122.006,124.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,26.0,13.0,angry,2.0,high,low,124,126,146.5692,22.5649,124.0043,126.0043,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,126,128,148.5692,22.5649,126.0043,128.0043,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,27.0,16.0,excited,1.0,high ,high,128,130,150.5693,22.5649,128.0044,130.0044,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,130,132,152.5693,22.5649,130.0044,132.0044,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,28.0,22.0,delighted,1.0,high ,high,132,134,154.5694,22.5649,132.0045,134.0045,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,134,136,156.5694,22.5649,134.0045,136.0045,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,29.0,17.0,bored,3.0,low,low,136,138,158.5709,22.5649,136.006,138.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,138,140,160.5709,22.5649,138.006,140.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,30.0,11.0,frustrated,2.0,high,low,140,142,162.571,22.5649,140.0061,142.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,142,144,164.571,22.5649,142.0061,144.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,31.0,15.0,tired,3.0,low,low,144,146,166.5698,22.5649,144.0049,146.0049,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,146,148,168.5698,22.5649,146.0049,148.0049,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,32.0,20.0,serene,4.0,low,high,148,150,170.5699,22.5649,148.005,150.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,150,152,172.5699,22.5649,150.005,152.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,33.0,4.0,distressed,2.0,high,low,152,154,174.5714,22.5649,152.0065,154.0065,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,154,156,176.5714,22.5649,154.0065,156.0065,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,34.0,19.0,glad,1.0,high ,high,156,158,178.5697,22.5649,156.0048,158.0048,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,158,160,180.5697,22.5649,158.0048,160.0048,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,35.0,23.0,gloomy,3.0,low,low,160,162,182.5709,22.5649,160.006,162.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,162,164,184.5709,22.5649,162.006,164.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,36.0,5.0,annoyed,2.0,high,low,164,166,186.5696,22.5649,164.0047,166.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,166,168,188.5696,22.5649,166.0047,168.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,37.0,6.0,satisfied,4.0,low,high,168,170,190.569,22.5649,168.0041,170.0041,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,170,172,192.569,22.5649,170.0041,172.0041,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,38.0,24.0,miserable,3.0,low,low,172,174,194.5711,22.5649,172.0062,174.0062,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,174,176,196.5711,22.5649,174.0062,176.0062,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,39.0,21.0,amused,1.0,high ,high,176,178,198.5707,22.5649,176.0058,178.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,178,180,200.5707,22.5649,178.0058,180.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,40.0,3.0,pleased,4.0,low,high,180,182,202.5699,22.5649,180.005,182.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,182,184,204.5699,22.5649,182.005,184.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,41.0,1.0,depressed,3.0,low,low,184,186,206.5712,22.5649,184.0063,186.0063,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,186,188,208.5712,22.5649,186.0063,188.0063,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,42.0,14.0,droopy,3.0,low,low,188,190,210.5699,22.5649,188.005,190.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,190,192,212.5699,22.5649,190.005,192.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,43.0,12.0,content,4.0,low,high,192,194,214.5696,22.5649,192.0047,194.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,194,196,216.5696,22.5649,194.0047,196.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,44.0,7.0,astonished,1.0,high ,high,196,198,218.5709,22.5649,196.006,198.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,198,200,220.5709,22.5649,198.006,200.006,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,45.0,9.0,calm,4.0,low,high,200,202,222.571,22.5649,200.0061,202.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,202,204,224.571,22.5649,202.0061,204.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,46.0,18.0,aroused,1.0,high ,high,204,206,226.5704,22.5649,204.0055,206.0055,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,206,208,228.5704,22.5649,206.0055,208.0055,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,47.0,2.0,alarmed,2.0,high,low,208,210,230.5692,22.5649,208.0043,210.0043,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,210,212,232.5692,22.5649,210.0043,212.0043,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,long_fixation,10,,,,,,,212,222,234.5666,22.5649,212.0017,222.0017,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,48.0,8.0,afraid,2.0,high,low,222,224,244.5708,22.5649,222.0059,224.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,224,226,246.5708,22.5649,224.0059,226.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,49.0,24.0,miserable,3.0,low,low,226,228,248.57,22.5649,226.0051,228.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,228,230,250.57,22.5649,228.0051,230.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,50.0,17.0,bored,3.0,low,low,230,232,252.5708,22.5649,230.0059,232.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,232,234,254.5708,22.5649,232.0059,234.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,51.0,14.0,droopy,3.0,low,low,234,236,256.5699,22.5649,234.005,236.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,236,238,258.5699,22.5649,236.005,238.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,52.0,19.0,glad,1.0,high ,high,238,240,260.5705,22.5649,238.0056,240.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,240,242,262.5705,22.5649,240.0056,242.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,53.0,10.0,sleepy,4.0,low,high,242,244,264.5698,22.5649,242.0049,244.0049,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,244,246,266.5698,22.5649,244.0049,246.0049,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,54.0,20.0,serene,4.0,low,high,246,248,268.57,22.5649,246.0051,248.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,248,250,270.57,22.5649,248.0051,250.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,55.0,6.0,satisfied,4.0,low,high,250,252,272.5701,22.5649,250.0052,252.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,252,254,274.5701,22.5649,252.0052,254.0052,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,56.0,5.0,annoyed,2.0,high,low,254,256,276.571,22.5649,254.0061,256.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,256,258,278.571,22.5649,256.0061,258.0061,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,57.0,18.0,aroused,1.0,high ,high,258,260,280.5708,22.5649,258.0059,260.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,260,262,282.5708,22.5649,260.0059,262.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,58.0,16.0,excited,1.0,high ,high,262,264,284.5699,22.5649,262.005,264.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,264,266,286.5699,22.5649,264.005,266.005,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,59.0,15.0,tired,3.0,low,low,266,268,288.5707,22.5649,266.0058,268.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,268,270,290.5707,22.5649,268.0058,270.0058,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,60.0,2.0,alarmed,2.0,high,low,270,272,292.5703,22.5649,270.0054,272.0054,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,272,274,294.5703,22.5649,272.0054,274.0054,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,61.0,9.0,calm,4.0,low,high,274,276,296.5696,22.5649,274.0047,276.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,276,278,298.5696,22.5649,276.0047,278.0047,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,62.0,12.0,content,4.0,low,high,278,280,300.5682,22.5649,278.0033,280.0033,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,280,282,302.5682,22.5649,280.0033,282.0033,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,63.0,3.0,pleased,4.0,low,high,282,284,304.57,22.5649,282.0051,284.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,284,286,306.57,22.5649,284.0051,286.0051,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,64.0,13.0,angry,2.0,high,low,286,288,308.5712,22.5649,286.0063,288.0063,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,288,290,310.5712,22.5649,288.0063,290.0063,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,65.0,1.0,depressed,3.0,low,low,290,292,312.5695,22.5649,290.0046,292.0046,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,292,294,314.5695,22.5649,292.0046,294.0046,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,66.0,22.0,delighted,1.0,high ,high,294,296,316.5705,22.5649,294.0056,296.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,296,298,318.5705,22.5649,296.0056,298.0056,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,67.0,21.0,amused,1.0,high ,high,298,300,320.5691,22.5649,298.0042,300.0042,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,300,302,322.5691,22.5649,300.0042,302.0042,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,68.0,7.0,astonished,1.0,high ,high,302,304,324.5708,22.5649,302.0059,304.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,304,306,326.5708,22.5649,304.0059,306.0059,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,69.0,23.0,gloomy,3.0,low,low,306,308,328.5698,22.5649,306.0049,308.0049,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,308,310,330.5698,22.5649,308.0049,310.0049,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,70.0,4.0,distressed,2.0,high,low,310,312,332.5697,22.5649,310.0048,312.0048,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,312,314,334.5697,22.5649,312.0048,314.0048,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,emotion_word,2,71.0,11.0,frustrated,2.0,high,low,314,316,336.5703,22.5649,314.0054,316.0054,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,iti,2,,,,,,,316,318,338.5703,22.5649,316.0054,318.0054,350.5665,328.0016
3a81e336-6b71-4baa-9865-b8c47dc68bc3,sub-002,long_fixation,10,,,,,,,318,328,340.5665,22.5649,318.0016,328.0016,350.5665,328.0016
