random_subid,subid,condition, cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_onset,adjusted_calc_offset
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,0,10,102.1639,102.1597,0.0042,10.0042
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,0,1,depressed,3,low,low,10,12,112.1651,102.1597,10.0054,12.0054
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,12,14,114.1651,102.1597,12.0054,14.0054
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,1,2,alarmed,3,high,low,14,16,116.1654,102.1597,14.0057,16.0057
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,16,18,118.1654,102.1597,16.0057,18.0057
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,2,3,pleased,4,low,high,18,20,120.1647,102.1597,18.005,20.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,20,22,122.1647,102.1597,20.005,22.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,3,4,distressed,2,high,low,22,24,124.1662,102.1597,22.0065,24.0065
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,24,26,126.1662,102.1597,24.0065,26.0065
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,4,5,annoyed,2,high,low,26,28,128.1646,102.1597,26.0049,28.0049
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,28,30,130.1646,102.1597,28.0049,30.0049
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,5,6,satisfied,4,low,high,30,32,132.1643,102.1597,30.0046,32.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,32,34,134.1643,102.1597,32.0046,34.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,6,7,astonished,1,high ,high,34,36,136.1648,102.1597,34.0051,36.0051
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,36,38,138.1648,102.1597,36.0051,38.0051
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,7,8,afraid,2,high,low,38,40,140.1649,102.1597,38.0052,40.0052
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,40,42,142.1649,102.1597,40.0052,42.0052
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,8,9,calm,4,low,high,42,44,144.1659,102.1597,42.0062,44.0062
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,44,46,146.1659,102.1597,44.0062,46.0062
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,9,10,sleepy,4,low,high,46,48,148.1653,102.1597,46.0056,48.0056
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,48,50,150.1653,102.1597,48.0056,50.0056
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,10,11,frustrated,2,high,low,50,52,152.1662,102.1597,50.0065,52.0065
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,52,54,154.1662,102.1597,52.0065,54.0065
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,11,12,content,4,low,high,54,56,156.1646,102.1597,54.0049,56.0049
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,56,58,158.1646,102.1597,56.0049,58.0049
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,12,13,angry,2,high,low,58,60,160.1653,102.1597,58.0056,60.0056
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,60,62,162.1653,102.1597,60.0056,62.0056
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,13,14,droopy,3,low,low,62,64,164.1647,102.1597,62.005,64.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,64,66,166.1647,102.1597,64.005,66.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,14,15,tired,3,low,low,66,68,168.1646,102.1597,66.0049,68.0049
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,68,70,170.1646,102.1597,68.0049,70.0049
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,15,16,excited,1,high ,high,70,72,172.1651,102.1597,70.0054,72.0054
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,72,74,174.1651,102.1597,72.0054,74.0054
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,16,17,bored,3,low,low,74,76,176.1647,102.1597,74.005,76.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,76,78,178.1647,102.1597,76.005,78.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,17,18,aroused,1,high ,high,78,80,180.1649,102.1597,78.0052,80.0052
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,80,82,182.1649,102.1597,80.0052,82.0052
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,18,19,glad,1,high ,high,82,84,184.1643,102.1597,82.0046,84.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,84,86,186.1643,102.1597,84.0046,86.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,19,20,serene,4,low,high,86,88,188.1648,102.1597,86.0051,88.0051
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,88,90,190.1648,102.1597,88.0051,90.0051
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,20,21,amused,1,high ,high,90,92,192.1645,102.1597,90.0048,92.0048
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,92,94,194.1645,102.1597,92.0048,94.0048
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,21,22,delighted,1,high ,high,94,96,196.166,102.1597,94.0063,96.0063
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,96,98,198.166,102.1597,96.0063,98.0063
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,22,23,gloomy,3,low,low,98,100,200.1652,102.1597,98.0055,100.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,100,102,202.1652,102.1597,100.0055,102.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,102,112,204.1603,102.1597,102.0006,112.0006
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,23,24,miserable,3,low,low,112,114,214.1643,102.1597,112.0046,114.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,114,116,216.1643,102.1597,114.0046,116.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,24,10,sleepy,4,low,high,116,118,218.1661,102.1597,116.0064,118.0064
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,118,120,220.1661,102.1597,118.0064,120.0064
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,25,8,afraid,2,high,low,120,122,222.1652,102.1597,120.0055,122.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,122,124,224.1652,102.1597,122.0055,124.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,26,13,angry,2,high,low,124,126,226.1647,102.1597,124.005,126.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,126,128,228.1647,102.1597,126.005,128.005
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,27,16,excited,1,high ,high,128,130,230.1643,102.1597,128.0046,130.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,130,132,232.1643,102.1597,130.0046,132.0046
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,28,22,delighted,1,high ,high,132,134,234.1645,102.1597,132.0048,134.0048
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,134,136,236.1645,102.1597,134.0048,136.0048
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,29,17,bored,3,low,low,136,138,238.1649,102.1597,136.0052,138.0052
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,138,140,240.1649,102.1597,138.0052,140.0052
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,30,11,frustrated,2,high,low,140,142,242.1642,102.1597,140.0045,142.0045
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,142,144,244.1642,102.1597,142.0045,144.0045
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,31,15,tired,3,low,low,144,146,246.1652,102.1597,144.0055,146.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,146,148,248.1652,102.1597,146.0055,148.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,32,20,serene,4,low,high,148,150,250.1652,102.1597,148.0055,150.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,150,152,252.1652,102.1597,150.0055,152.0055
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,33,4,distressed,2,high,low,152,154,254.1654,102.1597,152.0057,154.0057
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,154,156,256.1654,102.1597,154.0057,156.0057
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,emotion_word,2,34,19,glad,1,high ,high,156,158,258.164,102.1597,156.0043,158.0043
a5096d2c-fd6c-4ef0-adec-76a5cfec123f,sub-001,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,158,160,260.164,102.1597,158.0043,160.0043
,,emotion_word,2,35,23,gloomy,3,low,low,160,162,262.1652,102.1597,160.0055,162.0055
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,162,164,264.1652,102.1597,162.0055,164.0055
,,emotion_word,2,36,5,annoyed,2,high,low,164,166,266.1651,102.1597,164.0054,166.0054
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,166,168,268.1651,102.1597,166.0054,168.0054
,,emotion_word,2,37,6,satisfied,4,low,high,168,170,270.1645,102.1597,168.0048,170.0048
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,170,172,272.1645,102.1597,170.0048,172.0048
,,emotion_word,2,38,24,miserable,3,low,low,172,174,274.1647,102.1597,172.005,174.005
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,174,176,276.1647,102.1597,174.005,176.005
,,emotion_word,2,39,21,amused,1,high ,high,176,178,278.1644,102.1597,176.0047,178.0047
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,178,180,280.1644,102.1597,178.0047,180.0047
,,emotion_word,2,40,3,pleased,4,low,high,180,182,282.1648,102.1597,180.0051,182.0051
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,182,184,284.1648,102.1597,182.0051,184.0051
,,emotion_word,2,41,1,depressed,3,low,low,184,186,286.165,102.1597,184.0053,186.0053
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,186,188,288.165,102.1597,186.0053,188.0053
,,emotion_word,2,42,14,droopy,3,low,low,188,190,290.1647,102.1597,188.005,190.005
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,190,192,292.1647,102.1597,190.005,192.005
,,emotion_word,2,43,12,content,4,low,high,192,194,294.1647,102.1597,192.005,194.005
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,194,196,296.1647,102.1597,194.005,196.005
,,emotion_word,2,44,7,astonished,1,high ,high,196,198,298.1648,102.1597,196.0051,198.0051
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,198,200,300.1648,102.1597,198.0051,200.0051
,,emotion_word,2,45,9,calm,4,low,high,200,202,302.1646,102.1597,200.0049,202.0049
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,202,204,304.1646,102.1597,202.0049,204.0049
,,emotion_word,2,46,18,aroused,1,high ,high,204,206,306.1647,102.1597,204.005,206.005
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,206,208,308.1647,102.1597,206.005,208.005
,,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,208,218,310.1605,102.1597,208.0008,218.0008
,,emotion_word,2,47,2,alarmed,2,high,low,218,220,320.1648,102.1597,218.0051,220.0051
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,220,222,322.1648,102.1597,220.0051,222.0051
,,emotion_word,2,48,8,afraid,2,high,low,222,224,324.1644,102.1597,222.0047,224.0047
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,224,226,326.1644,102.1597,224.0047,226.0047
,,emotion_word,2,49,24,miserable,3,low,low,226,228,328.1654,102.1597,226.0057,228.0057
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,228,230,330.1654,102.1597,228.0057,230.0057
,,emotion_word,2,50,17,bored,3,low,low,230,232,332.166,102.1597,230.0063,232.0063
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,232,234,334.166,102.1597,232.0063,234.0063
,,emotion_word,2,51,14,droopy,3,low,low,234,236,336.165,102.1597,234.0053,236.0053
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,236,238,338.165,102.1597,236.0053,238.0053
,,emotion_word,2,52,19,glad,1,high ,high,238,240,340.1642,102.1597,238.0045,240.0045
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,240,242,342.1642,102.1597,240.0045,242.0045
,,emotion_word,2,53,10,sleepy,4,low,high,242,244,344.1642,102.1597,242.0045,244.0045
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,244,246,346.1642,102.1597,244.0045,246.0045
,,emotion_word,2,54,20,serene,4,low,high,246,248,348.1646,102.1597,246.0049,248.0049
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,248,250,350.1646,102.1597,248.0049,250.0049
,,emotion_word,2,55,6,satisfied,4,low,high,250,252,352.1651,102.1597,250.0054,252.0054
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,252,254,354.1651,102.1597,252.0054,254.0054
,,emotion_word,2,56,5,annoyed,2,high,low,254,256,356.1644,102.1597,254.0047,256.0047
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,256,258,358.1644,102.1597,256.0047,258.0047
,,emotion_word,2,57,18,aroused,1,high ,high,258,260,360.1659,102.1597,258.0062,260.0062
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,260,262,362.1659,102.1597,260.0062,262.0062
,,emotion_word,2,58,16,excited,1,high ,high,262,264,364.1643,102.1597,262.0046,264.0046
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,264,266,366.1643,102.1597,264.0046,266.0046
,,emotion_word,2,59,15,tired,3,low,low,266,268,368.1651,102.1597,266.0054,268.0054
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,268,270,370.1651,102.1597,268.0054,270.0054
,,emotion_word,2,60,2,alarmed,2,high,low,270,272,372.1649,102.1597,270.0052,272.0052
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,272,274,374.1649,102.1597,272.0052,274.0052
,,emotion_word,2,61,9,calm,4,low,high,274,276,376.1648,102.1597,274.0051,276.0051
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,276,278,378.1648,102.1597,276.0051,278.0051
,,emotion_word,2,62,12,content,4,low,high,278,280,380.1648,102.1597,278.0051,280.0051
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,280,282,382.1648,102.1597,280.0051,282.0051
,,emotion_word,2,63,3,pleased,4,low,high,282,284,384.1653,102.1597,282.0056,284.0056
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,284,286,386.1653,102.1597,284.0056,286.0056
,,emotion_word,2,64,13,angry,2,high,low,286,288,388.1639,102.1597,286.0042,288.0042
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,288,290,390.1639,102.1597,288.0042,290.0042
,,emotion_word,2,65,1,depressed,3,low,low,290,292,392.1654,102.1597,290.0057,292.0057
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,292,294,394.1654,102.1597,292.0057,294.0057
,,emotion_word,2,66,22,delighted,1,high ,high,294,296,396.164,102.1597,294.0043,296.0043
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,296,298,398.164,102.1597,296.0043,298.0043
,,emotion_word,2,67,21,amused,1,high ,high,298,300,400.164,102.1597,298.0043,300.0043
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,300,302,402.164,102.1597,300.0043,302.0043
,,emotion_word,2,68,7,astonished,1,high ,high,302,304,404.1654,102.1597,302.0057,304.0057
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,304,306,406.1654,102.1597,304.0057,306.0057
,,emotion_word,2,69,23,gloomy,3,low,low,306,308,408.1641,102.1597,306.0044,308.0044
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,308,310,410.1641,102.1597,308.0044,310.0044
,,emotion_word,2,70,4,distressed,2,high,low,310,312,412.1663,102.1597,310.0066,312.0066
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,312,314,414.1663,102.1597,312.0066,314.0066
,,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,314,324,416.1609,102.1597,314.0012,324.0012
,,emotion_word,2,71,11,frustrated,2,high,low,324,326,426.1642,102.1597,324.0045,326.0045
,,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,326,328,428.1642,102.1597,326.0045,328.0045