random_subid,subid ,condition, cond_duration,trial,word_id,word,category_num,category_arousal,category_valence,expected_onset,expected_offset,recorded_onset,trigger_start_time,adjusted_recorded_offset,adjusted_calc_offset
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,0,10,22.6676,22.6637,0.0039,10.0039
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,0,1,depressed,3,low,low,10,12,32.668,22.6637,10.0043,12.0043
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,12,14,34.668,22.6637,12.0043,14.0043
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,1,2,alarmed,3,high,low,14,16,36.6683,22.6637,14.0046,16.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,16,18,38.6683,22.6637,16.0046,18.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,2,3,pleased,4,low,high,18,20,40.6688,22.6637,18.0051,20.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,20,22,42.6688,22.6637,20.0051,22.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,3,4,distressed,2,high,low,22,24,44.6682,22.6637,22.0045,24.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,24,26,46.6682,22.6637,24.0045,26.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,4,5,annoyed,2,high,low,26,28,48.6678,22.6637,26.0041,28.0041
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,28,30,50.6678,22.6637,28.0041,30.0041
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,5,6,satisfied,4,low,high,30,32,52.6692,22.6637,30.0055,32.0055
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,32,34,54.6692,22.6637,32.0055,34.0055
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,6,7,astonished,1,high ,high,34,36,56.6685,22.6637,34.0048,36.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,36,38,58.6685,22.6637,36.0048,38.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,7,8,afraid,2,high,low,38,40,60.6683,22.6637,38.0046,40.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,40,42,62.6683,22.6637,40.0046,42.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,8,9,calm,4,low,high,42,44,64.6687,22.6637,42.005,44.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,44,46,66.6687,22.6637,44.005,46.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,9,10,sleepy,4,low,high,46,48,68.669,22.6637,46.0053,48.0053
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,48,50,70.669,22.6637,48.0053,50.0053
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,10,11,frustrated,2,high,low,50,52,72.6686,22.6637,50.0049,52.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,52,54,74.6686,22.6637,52.0049,54.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,11,12,content,4,low,high,54,56,76.6681,22.6637,54.0044,56.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,56,58,78.6681,22.6637,56.0044,58.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,12,13,angry,2,high,low,58,60,80.6681,22.6637,58.0044,60.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,60,62,82.6681,22.6637,60.0044,62.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,13,14,droopy,3,low,low,62,64,84.6685,22.6637,62.0048,64.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,64,66,86.6685,22.6637,64.0048,66.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,14,15,tired,3,low,low,66,68,88.6681,22.6637,66.0044,68.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,68,70,90.6681,22.6637,68.0044,70.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,15,16,excited,1,high ,high,70,72,92.6681,22.6637,70.0044,72.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,72,74,94.6681,22.6637,72.0044,74.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,16,17,bored,3,low,low,74,76,96.6671,22.6637,74.0034,76.0034
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,76,78,98.6671,22.6637,76.0034,78.0034
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,17,18,aroused,1,high ,high,78,80,100.6692,22.6637,78.0055,80.0055
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,80,82,102.6692,22.6637,80.0055,82.0055
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,18,19,glad,1,high ,high,82,84,104.6683,22.6637,82.0046,84.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,84,86,106.6683,22.6637,84.0046,86.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,19,20,serene,4,low,high,86,88,108.6684,22.6637,86.0047,88.0047
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,88,90,110.6684,22.6637,88.0047,90.0047
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,20,21,amused,1,high ,high,90,92,112.6681,22.6637,90.0044,92.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,92,94,114.6681,22.6637,92.0044,94.0044
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,21,22,delighted,1,high ,high,94,96,116.6691,22.6637,94.0054,96.0054
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,96,98,118.6691,22.6637,96.0054,98.0054
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,22,23,gloomy,3,low,low,98,100,120.6682,22.6637,98.0045,100.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,100,102,122.6682,22.6637,100.0045,102.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,23,24,miserable,3,low,low,102,104,124.6683,22.6637,102.0046,104.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,104,106,126.6683,22.6637,104.0046,106.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,106,116,128.6643,22.6637,106.0006,116.0006
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,24,10,sleepy,4,low,high,116,118,138.6686,22.6637,116.0049,118.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,118,120,140.6686,22.6637,118.0049,120.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,25,8,afraid,2,high,low,120,122,142.6687,22.6637,120.005,122.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,122,124,144.6687,22.6637,122.005,124.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,26,13,angry,2,high,low,124,126,146.6679,22.6637,124.0042,126.0042
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,126,128,148.6679,22.6637,126.0042,128.0042
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,27,16,excited,1,high ,high,128,130,150.6687,22.6637,128.005,130.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,130,132,152.6687,22.6637,130.005,132.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,28,22,delighted,1,high ,high,132,134,154.6689,22.6637,132.0052,134.0052
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,134,136,156.6689,22.6637,134.0052,136.0052
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,29,17,bored,3,low,low,136,138,158.6688,22.6637,136.0051,138.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,138,140,160.6688,22.6637,138.0051,140.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,30,11,frustrated,2,high,low,140,142,162.6688,22.6637,140.0051,142.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,142,144,164.6688,22.6637,142.0051,144.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,31,15,tired,3,low,low,144,146,166.6687,22.6637,144.005,146.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,146,148,168.6687,22.6637,146.005,148.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,32,20,serene,4,low,high,148,150,170.6691,22.6637,148.0054,150.0054
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,150,152,172.6691,22.6637,150.0054,152.0054
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,33,4,distressed,2,high,low,152,154,174.668,22.6637,152.0043,154.0043
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,154,156,176.668,22.6637,154.0043,156.0043
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,34,19,glad,1,high ,high,156,158,178.668,22.6637,156.0043,158.0043
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,158,160,180.668,22.6637,158.0043,160.0043
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,35,23,gloomy,3,low,low,160,162,182.6685,22.6637,160.0048,162.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,162,164,184.6685,22.6637,162.0048,164.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,36,5,annoyed,2,high,low,164,166,186.6686,22.6637,164.0049,166.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,166,168,188.6686,22.6637,166.0049,168.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,37,6,satisfied,4,low,high,168,170,190.6696,22.6637,168.0059,170.0059
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,170,172,192.6696,22.6637,170.0059,172.0059
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,38,24,miserable,3,low,low,172,174,194.6683,22.6637,172.0046,174.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,174,176,196.6683,22.6637,174.0046,176.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,39,21,amused,1,high ,high,176,178,198.6685,22.6637,176.0048,178.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,178,180,200.6685,22.6637,178.0048,180.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,40,3,pleased,4,low,high,180,182,202.6687,22.6637,180.005,182.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,182,184,204.6687,22.6637,182.005,184.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,41,1,depressed,3,low,low,184,186,206.6693,22.6637,184.0056,186.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,186,188,208.6693,22.6637,186.0056,188.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,42,14,droopy,3,low,low,188,190,210.6687,22.6637,188.005,190.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,190,192,212.6687,22.6637,190.005,192.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,43,12,content,4,low,high,192,194,214.6687,22.6637,192.005,194.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,194,196,216.6687,22.6637,194.005,196.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,44,7,astonished,1,high ,high,196,198,218.6689,22.6637,196.0052,198.0052
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,198,200,220.6689,22.6637,198.0052,200.0052
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,45,9,calm,4,low,high,200,202,222.6697,22.6637,200.006,202.006
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,202,204,224.6697,22.6637,202.006,204.006
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,46,18,aroused,1,high ,high,204,206,226.6683,22.6637,204.0046,206.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,206,208,228.6683,22.6637,206.0046,208.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,47,2,alarmed,2,high,low,208,210,230.6695,22.6637,208.0058,210.0058
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,210,212,232.6695,22.6637,210.0058,212.0058
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,212,222,234.6658,22.6637,212.0021,222.0021
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,48,8,afraid,2,high,low,222,224,244.67,22.6637,222.0063,224.0063
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,224,226,246.67,22.6637,224.0063,226.0063
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,49,24,miserable,3,low,low,226,228,248.6693,22.6637,226.0056,228.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,228,230,250.6693,22.6637,228.0056,230.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,50,17,bored,3,low,low,230,232,252.6687,22.6637,230.005,232.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,232,234,254.6687,22.6637,232.005,234.005
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,51,14,droopy,3,low,low,234,236,256.6682,22.6637,234.0045,236.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,236,238,258.6682,22.6637,236.0045,238.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,52,19,glad,1,high ,high,238,240,260.6693,22.6637,238.0056,240.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,240,242,262.6693,22.6637,240.0056,242.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,53,10,sleepy,4,low,high,242,244,264.6685,22.6637,242.0048,244.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,244,246,266.6685,22.6637,244.0048,246.0048
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,54,20,serene,4,low,high,246,248,268.6686,22.6637,246.0049,248.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,248,250,270.6686,22.6637,248.0049,250.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,55,6,satisfied,4,low,high,250,252,272.6699,22.6637,250.0062,252.0062
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,252,254,274.6699,22.6637,252.0062,254.0062
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,56,5,annoyed,2,high,low,254,256,276.6691,22.6637,254.0054,256.0054
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,256,258,278.6691,22.6637,256.0054,258.0054
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,57,18,aroused,1,high ,high,258,260,280.6683,22.6637,258.0046,260.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,260,262,282.6683,22.6637,260.0046,262.0046
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,58,16,excited,1,high ,high,262,264,284.6693,22.6637,262.0056,264.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,264,266,286.6693,22.6637,264.0056,266.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,59,15,tired,3,low,low,266,268,288.6686,22.6637,266.0049,268.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,268,270,290.6686,22.6637,268.0049,270.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,60,2,alarmed,2,high,low,270,272,292.6688,22.6637,270.0051,272.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,272,274,294.6688,22.6637,272.0051,274.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,61,9,calm,4,low,high,274,276,296.6693,22.6637,274.0056,276.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,276,278,298.6693,22.6637,276.0056,278.0056
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,62,12,content,4,low,high,278,280,300.6702,22.6637,278.0065,280.0065
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,280,282,302.6702,22.6637,280.0065,282.0065
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,63,3,pleased,4,low,high,282,284,304.6686,22.6637,282.0049,284.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,284,286,306.6686,22.6637,284.0049,286.0049
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,64,13,angry,2,high,low,286,288,308.669,22.6637,286.0053,288.0053
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,288,290,310.669,22.6637,288.0053,290.0053
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,65,1,depressed,3,low,low,290,292,312.6692,22.6637,290.0055,292.0055
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,292,294,314.6692,22.6637,292.0055,294.0055
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,66,22,delighted,1,high ,high,294,296,316.6682,22.6637,294.0045,296.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,296,298,318.6682,22.6637,296.0045,298.0045
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,67,21,amused,1,high ,high,298,300,320.6674,22.6637,298.0037,300.0037
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,300,302,322.6674,22.6637,300.0037,302.0037
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,68,7,astonished,1,high ,high,302,304,324.6688,22.6637,302.0051,304.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,304,306,326.6688,22.6637,304.0051,306.0051
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,69,23,gloomy,3,low,low,306,308,328.6689,22.6637,306.0052,308.0052
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,308,310,330.6689,22.6637,308.0052,310.0052
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,70,4,distressed,2,high,low,310,312,332.6701,22.6637,310.0064,312.0064
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,312,314,334.6701,22.6637,312.0064,314.0064
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,emotion_word,2,71,11,frustrated,2,high,low,314,316,336.6697,22.6637,314.006,316.006
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,iti,2,NaN,NaN,NaN,NaN,NaN,NaN,316,318,338.6697,22.6637,316.006,318.006
b686f037-900c-458c-a083-fa7c53e02983,sub-pseudo004,long_fixation,10,NaN,NaN,NaN,NaN,NaN,NaN,318,328,340.6649,22.6637,318.0012,328.0012